 Which k-point you are on :            1
 ******************************* 
 ******************************* 
 start for in =               1
  Vcoulb n1   ig   ga  gb  gc      
       Infinity       1       1       0       0       0
     4.72691276       1       2       1       0       0
     2.36345638       1       3       2       0       0
     1.57563759       1       4       3       0       0
     1.18172819       1       5       4       0       0
     0.94538255       1       6       5       0       0
     0.78781879       1       7      -6       0       0
     0.94538255       1       8      -5       0       0
     1.18172819       1       9      -4       0       0
     1.57563759       1      10      -3       0       0
     2.36345638       1      11      -2       0       0
     4.72691276       1      12      -1       0       0
     4.72691276       1      13       0       1       0
     4.09362653       1      14       1       1       0
     2.46854968       1      15       2       1       0
     1.67121603       1      16       3       1       0
     1.24854439       1      17       4       1       0
     0.99285027       1      18       5       1       0
     0.73821975       1      19      -6       1       0
     0.87276411       1      20      -5       1       0
     1.06588956       1      21      -4       1       0
     1.36454218       1      22      -3       1       0
     1.87828467       1      23      -2       1       0
     2.89463108       1      24      -1       1       0
     2.36345638       1      25       0       2       0
     2.46854968       1      26       1       2       0
     2.04681326       1      27       2       2       0
     1.57563759       1      28       3       2       0
     1.23427484       1      29       4       2       0
     1.00023216       1      30       5       2       0
     0.68227109       1      31      -6       2       0
     0.79149163       1      32      -5       2       0
     0.93914233       1      33      -4       2       0
     1.14644474       1      34      -3       2       0
     1.44731554       1      35      -2       2       0
     1.87828467       1      36      -1       2       0
     1.57563759       1      37       0       3       0
     1.67121603       1      38       1       3       0
     1.57563759       1      39       2       3       0
     1.36454218       1      40       3       3       0
     1.14644474       1      41       4       3       0
     0.96487703       1      42       5       3       0
     0.62609489       1      43      -6       3       0
     0.71260891       1      44      -5       3       0
     0.82284989       1      45      -4       3       0
     0.96487703       1      46      -3       3       0
     1.14644474       1      47      -2       3       0
     1.36454218       1      48      -1       3       0
     1.18172819       1      49       0       4       0
     1.24854439       1      50       1       4       0
     1.23427484       1      51       2       4       0
     1.14644474       1      52       3       4       0
     1.02340663       1      53       4       4       0
     0.89866777       1      54       5       4       0
     0.57322237       1      55      -6       4       0
     0.64127515       1      56      -5       4       0
     0.72365777       1      57      -4       4       0
     0.82284989       1      58      -3       4       0
     0.93914233       1      59      -2       4       0
     1.06588956       1      60      -1       4       0
     0.94538255       1      61       0       5       0
     0.99285027       1      62       1       5       0
     1.00023216       1      63       2       5       0
     0.96487703       1      64       3       5       0
     0.89866777       1      65       4       5       0
     0.81872531       1      66       5       5       0
     0.52521253       1      67      -6       5       0
     0.57892622       1      68      -5       5       0
     0.64127515       1      69      -4       5       0
     0.71260891       1      70      -3       5       0
     0.79149163       1      71      -2       5       0
     0.87276411       1      72      -1       5       0
     0.78781879       1      73       0      -6       0
     0.73821975       1      74       1      -6       0
     0.68227109       1      75       2      -6       0
     0.62609489       1      76       3      -6       0
     0.57322237       1      77       4      -6       0
     0.52521253       1      78       5      -6       0
     0.68227109       1      79      -6      -6       0
     0.73821975       1      80      -5      -6       0
     0.78781879       1      81      -4      -6       0
     0.82284989       1      82      -3      -6       0
     0.83560802       1      83      -2      -6       0
     0.82284989       1      84      -1      -6       0
     0.94538255       1      85       0      -5       0
     0.87276411       1      86       1      -5       0
     0.79149163       1      87       2      -5       0
     0.71260891       1      88       3      -5       0
     0.64127515       1      89       4      -5       0
     0.57892622       1      90       5      -5       0
     0.73821975       1      91      -6      -5       0
     0.81872531       1      92      -5      -5       0
     0.89866777       1      93      -4      -5       0
     0.96487703       1      94      -3      -5       0
     1.00023216       1      95      -2      -5       0
     0.99285027       1      96      -1      -5       0
     1.18172819       1      97       0      -4       0
     1.06588956       1      98       1      -4       0
     0.93914233       1      99       2      -4       0
     0.82284989       1     100       3      -4       0
     0.72365777       1     101       4      -4       0
     0.64127515       1     102       5      -4       0
     0.78781879       1     103      -6      -4       0
     0.89866777       1     104      -5      -4       0
     1.02340663       1     105      -4      -4       0
     1.14644474       1     106      -3      -4       0
     1.23427484       1     107      -2      -4       0
     1.24854439       1     108      -1      -4       0
     1.57563759       1     109       0      -3       0
     1.36454218       1     110       1      -3       0
     1.14644474       1     111       2      -3       0
     0.96487703       1     112       3      -3       0
     0.82284989       1     113       4      -3       0
     0.71260891       1     114       5      -3       0
     0.82284989       1     115      -6      -3       0
     0.96487703       1     116      -5      -3       0
     1.14644474       1     117      -4      -3       0
     1.36454218       1     118      -3      -3       0
     1.57563759       1     119      -2      -3       0
     1.67121603       1     120      -1      -3       0
     2.36345638       1     121       0      -2       0
     1.87828467       1     122       1      -2       0
     1.44731554       1     123       2      -2       0
     1.14644474       1     124       3      -2       0
     0.93914233       1     125       4      -2       0
     0.79149163       1     126       5      -2       0
     0.83560802       1     127      -6      -2       0
     1.00023216       1     128      -5      -2       0
     1.23427484       1     129      -4      -2       0
     1.57563759       1     130      -3      -2       0
     2.04681326       1     131      -2      -2       0
     2.46854968       1     132      -1      -2       0
     4.72691276       1     133       0      -1       0
     2.89463108       1     134       1      -1       0
     1.87828467       1     135       2      -1       0
     1.36454218       1     136       3      -1       0
     1.06588956       1     137       4      -1       0
     0.87276411       1     138       5      -1       0
     0.82284989       1     139      -6      -1       0
     0.99285027       1     140      -5      -1       0
     1.24854439       1     141      -4      -1       0
     1.67121603       1     142      -3      -1       0
     2.46854968       1     143      -2      -1       0
     4.09362653       1     144      -1      -1       0
     4.72691276       1     145       0       0       1
     4.09362653       1     146       1       0       1
     2.46854968       1     147       2       0       1
     1.67121603       1     148       3       0       1
     1.24854439       1     149       4       0       1
     0.99285027       1     150       5       0       1
     0.73821975       1     151      -6       0       1
     0.87276411       1     152      -5       0       1
     1.06588956       1     153      -4       0       1
     1.36454218       1     154      -3       0       1
     1.87828467       1     155      -2       0       1
     2.89463108       1     156      -1       0       1
     4.09362653       1     157       0       1       1
     4.72691276       1     158       1       1       1
     2.89463108       1     159       2       1       1
     1.87828467       1     160       3       1       1
     1.36454218       1     161       4       1       1
     1.06588956       1     162       5       1       1
     0.70205116       1     163      -6       1       1
     0.82284989       1     164      -5       1       1
     0.99285027       1     165      -4       1       1
     1.24854439       1     166      -3       1       1
     1.67121603       1     167      -2       1       1
     2.46854968       1     168      -1       1       1
     2.46854968       1     169       0       2       1
     2.89463108       1     170       1       2       1
     2.46854968       1     171       2       2       1
     1.83072544       1     172       3       2       1
     1.38389835       1     173       4       2       1
     1.09406771       1     174       5       2       1
     0.65761599       1     175      -6       2       1
     0.76016736       1     176      -5       2       1
     0.89866777       1     177      -4       2       1
     1.09406771       1     178      -3       2       1
     1.38389835       1     179      -2       2       1
     1.83072544       1     180      -1       2       1
     1.67121603       1     181       0       3       1
     1.87828467       1     182       1       3       1
     1.83072544       1     183       2       3       1
     1.57563759       1     184       3       3       1
     1.29451837       1     185       4       3       1
     1.06588956       1     186       5       3       1
     0.61024181       1     187      -6       3       1
     0.69443374       1     188      -5       3       1
     0.80282621       1     189      -4       3       1
     0.94538255       1     190      -3       3       1
     1.13536772       1     191      -2       3       1
     1.38389835       1     192      -1       3       1
     1.24854439       1     193       0       4       1
     1.36454218       1     194       1       4       1
     1.38389835       1     195       2       4       1
     1.29451837       1     196       3       4       1
     1.14644474       1     197       4       4       1
     0.99285027       1     198       5       4       1
     0.56363374       1     199      -6       4       1
     0.63166029       1     200      -5       4       1
     0.71532362       1     201      -4       4       1
     0.81872531       1     202      -3       4       1
     0.94538255       1     203      -2       4       1
     1.09406771       1     204      -1       4       1
     0.99285027       1     205       0       5       1
     1.06588956       1     206       1       5       1
     1.09406771       1     207       2       5       1
     1.06588956       1     208       3       5       1
     0.99285027       1     209       4       5       1
     0.89866777       1     210       5       5       1
     0.51989109       1     211      -6       5       1
     0.57463251       1     212      -5       5       1
     0.63931705       1     213      -4       5       1
     0.71532362       1     214      -3       5       1
     0.80282621       1     215      -2       5       1
     0.89866777       1     216      -1       5       1
     0.73821975       1     217       0      -6       1
     0.70205116       1     218       1      -6       1
     0.65761599       1     219       2      -6       1
     0.61024181       1     220       3      -6       1
     0.56363374       1     221       4      -6       1
     0.51989109       1     222       5      -6       1
     0.62609489       1     223      -6      -6       1
     0.67298806       1     224      -5      -6       1
     0.71532362       1     225      -4      -6       1
     0.74739053       1     226      -3      -6       1
     0.76346528       1     227      -2      -6       1
     0.76016736       1     228      -1      -6       1
     0.87276411       1     229       0      -5       1
     0.82284989       1     230       1      -5       1
     0.76016736       1     231       2      -5       1
     0.69443374       1     232       3      -5       1
     0.63166029       1     233       4      -5       1
     0.57463251       1     234       5      -5       1
     0.67298806       1     235      -6      -5       1
     0.73821975       1     236      -5      -5       1
     0.80282621       1     237      -4      -5       1
     0.85825732       1     238      -3      -5       1
     0.89330254       1     239      -2      -5       1
     0.89866777       1     240      -1      -5       1
     1.06588956       1     241       0      -4       1
     0.99285027       1     242       1      -4       1
     0.89866777       1     243       2      -4       1
     0.80282621       1     244       3      -4       1
     0.71532362       1     245       4      -4       1
     0.63931705       1     246       5      -4       1
     0.71532362       1     247      -6      -4       1
     0.80282621       1     248      -5      -4       1
     0.89866777       1     249      -4      -4       1
     0.99285027       1     250      -3      -4       1
     1.06588956       1     251      -2      -4       1
     1.09406771       1     252      -1      -4       1
     1.36454218       1     253       0      -3       1
     1.24854439       1     254       1      -3       1
     1.09406771       1     255       2      -3       1
     0.94538255       1     256       3      -3       1
     0.81872531       1     257       4      -3       1
     0.71532362       1     258       5      -3       1
     0.74739053       1     259      -6      -3       1
     0.85825732       1     260      -5      -3       1
     0.99285027       1     261      -4      -3       1
     1.14644474       1     262      -3      -3       1
     1.29451837       1     263      -2      -3       1
     1.38389835       1     264      -1      -3       1
     1.87828467       1     265       0      -2       1
     1.67121603       1     266       1      -2       1
     1.38389835       1     267       2      -2       1
     1.13536772       1     268       3      -2       1
     0.94538255       1     269       4      -2       1
     0.80282621       1     270       5      -2       1
     0.76346528       1     271      -6      -2       1
     0.89330254       1     272      -5      -2       1
     1.06588956       1     273      -4      -2       1
     1.29451837       1     274      -3      -2       1
     1.57563759       1     275      -2      -2       1
     1.83072544       1     276      -1      -2       1
     2.89463108       1     277       0      -1       1
     2.46854968       1     278       1      -1       1
     1.83072544       1     279       2      -1       1
     1.38389835       1     280       3      -1       1
     1.09406771       1     281       4      -1       1
     0.89866777       1     282       5      -1       1
     0.76016736       1     283      -6      -1       1
     0.89866777       1     284      -5      -1       1
     1.09406771       1     285      -4      -1       1
     1.38389835       1     286      -3      -1       1
     1.83072544       1     287      -2      -1       1
     2.46854968       1     288      -1      -1       1
     2.36345638       1     289       0       0       2
     2.46854968       1     290       1       0       2
     2.04681326       1     291       2       0       2
     1.57563759       1     292       3       0       2
     1.23427484       1     293       4       0       2
     1.00023216       1     294       5       0       2
     0.68227109       1     295      -6       0       2
     0.79149163       1     296      -5       0       2
     0.93914233       1     297      -4       0       2
     1.14644474       1     298      -3       0       2
     1.44731554       1     299      -2       0       2
     1.87828467       1     300      -1       0       2
     2.46854968       1     301       0       1       2
     2.89463108       1     302       1       1       2
     2.46854968       1     303       2       1       2
     1.83072544       1     304       3       1       2
     1.38389835       1     305       4       1       2
     1.09406771       1     306       5       1       2
     0.65761599       1     307      -6       1       2
     0.76016736       1     308      -5       1       2
     0.89866777       1     309      -4       1       2
     1.09406771       1     310      -3       1       2
     1.38389835       1     311      -2       1       2
     1.83072544       1     312      -1       1       2
     2.04681326       1     313       0       2       2
     2.46854968       1     314       1       2       2
     2.36345638       1     315       2       2       2
     1.87828467       1     316       3       2       2
     1.44731554       1     317       4       2       2
     1.14644474       1     318       5       2       2
     0.62427219       1     319      -6       2       2
     0.71532362       1     320      -5       2       2
     0.83560802       1     321      -4       2       2
     1.00023216       1     322      -3       2       2
     1.23427484       1     323      -2       2       2
     1.57563759       1     324      -1       2       2
     1.57563759       1     325       0       3       2
     1.83072544       1     326       1       3       2
     1.87828467       1     327       2       3       2
     1.67121603       1     328       3       3       2
     1.38389835       1     329       4       3       2
     1.13536772       1     330       5       3       2
     0.58630137       1     331      -6       3       2
     0.66407391       1     332      -5       3       2
     0.76346528       1     333      -4       3       2
     0.89330254       1     334      -3       3       2
     1.06588956       1     335      -2       3       2
     1.29451837       1     336      -1       3       2
     1.23427484       1     337       0       4       2
     1.38389835       1     338       1       4       2
     1.44731554       1     339       2       4       2
     1.38389835       1     340       3       4       2
     1.23427484       1     341       4       4       2
     1.06588956       1     342       5       4       2
     0.54703385       1     343      -6       4       2
     0.61194402       1     344      -5       4       2
     0.69194918       1     345      -4       4       2
     0.79149163       1     346      -3       4       2
     0.91536272       1     347      -2       4       2
     1.06588956       1     348      -1       4       2
     1.00023216       1     349       0       5       2
     1.09406771       1     350       1       5       2
     1.14644474       1     351       2       5       2
     1.13536772       1     352       3       5       2
     1.06588956       1     353       4       5       2
     0.96487703       1     354       5       5       2
     0.50873115       1     355      -6       5       2
     0.56230285       1     356      -5       5       2
     0.62609489       1     357      -4       5       2
     0.70205116       1     358      -3       5       2
     0.79149163       1     359      -2       5       2
     0.89330254       1     360      -1       5       2
     0.68227109       1     361       0      -6       2
     0.65761599       1     362       1      -6       2
     0.62427219       1     363       2      -6       2
     0.58630137       1     364       3      -6       2
     0.54703385       1     365       4      -6       2
     0.50873115       1     366       5      -6       2
     0.57322237       1     367      -6      -6       2
     0.61194402       1     368      -5      -6       2
     0.64725919       1     369      -4      -6       2
     0.67527325       1     370      -3      -6       2
     0.69194918       1     371      -2      -6       2
     0.69443374       1     372      -1      -6       2
     0.79149163       1     373       0      -5       2
     0.76016736       1     374       1      -5       2
     0.71532362       1     375       2      -5       2
     0.66407391       1     376       3      -5       2
     0.61194402       1     377       4      -5       2
     0.56230285       1     378       5      -5       2
     0.61194402       1     379      -6      -5       2
     0.66407391       1     380      -5      -5       2
     0.71532362       1     381      -4      -5       2
     0.76016736       1     382      -3      -5       2
     0.79149163       1     383      -2      -5       2
     0.80282621       1     384      -1      -5       2
     0.93914233       1     385       0      -4       2
     0.89866777       1     386       1      -4       2
     0.83560802       1     387       2      -4       2
     0.76346528       1     388       3      -4       2
     0.69194918       1     389       4      -4       2
     0.62609489       1     390       5      -4       2
     0.64725919       1     391      -6      -4       2
     0.71532362       1     392      -5      -4       2
     0.78781879       1     393      -4      -4       2
     0.85825732       1     394      -3      -4       2
     0.91536272       1     395      -2      -4       2
     0.94538255       1     396      -1      -4       2
     1.14644474       1     397       0      -3       2
     1.09406771       1     398       1      -3       2
     1.00023216       1     399       2      -3       2
     0.89330254       1     400       3      -3       2
     0.79149163       1     401       4      -3       2
     0.70205116       1     402       5      -3       2
     0.67527325       1     403      -6      -3       2
     0.76016736       1     404      -5      -3       2
     0.85825732       1     405      -4      -3       2
     0.96487703       1     406      -3      -3       2
     1.06588956       1     407      -2      -3       2
     1.13536772       1     408      -1      -3       2
     1.44731554       1     409       0      -2       2
     1.38389835       1     410       1      -2       2
     1.23427484       1     411       2      -2       2
     1.06588956       1     412       3      -2       2
     0.91536272       1     413       4      -2       2
     0.79149163       1     414       5      -2       2
     0.69194918       1     415      -6      -2       2
     0.79149163       1     416      -5      -2       2
     0.91536272       1     417      -4      -2       2
     1.06588956       1     418      -3      -2       2
     1.23427484       1     419      -2      -2       2
     1.38389835       1     420      -1      -2       2
     1.87828467       1     421       0      -1       2
     1.83072544       1     422       1      -1       2
     1.57563759       1     423       2      -1       2
     1.29451837       1     424       3      -1       2
     1.06588956       1     425       4      -1       2
     0.89330254       1     426       5      -1       2
     0.69443374       1     427      -6      -1       2
     0.80282621       1     428      -5      -1       2
     0.94538255       1     429      -4      -1       2
     1.13536772       1     430      -3      -1       2
     1.38389835       1     431      -2      -1       2
     1.67121603       1     432      -1      -1       2
     1.57563759       1     433       0       0       3
     1.67121603       1     434       1       0       3
     1.57563759       1     435       2       0       3
     1.36454218       1     436       3       0       3
     1.14644474       1     437       4       0       3
     0.96487703       1     438       5       0       3
     0.62609489       1     439      -6       0       3
     0.71260891       1     440      -5       0       3
     0.82284989       1     441      -4       0       3
     0.96487703       1     442      -3       0       3
     1.14644474       1     443      -2       0       3
     1.36454218       1     444      -1       0       3
     1.67121603       1     445       0       1       3
     1.87828467       1     446       1       1       3
     1.83072544       1     447       2       1       3
     1.57563759       1     448       3       1       3
     1.29451837       1     449       4       1       3
     1.06588956       1     450       5       1       3
     0.61024181       1     451      -6       1       3
     0.69443374       1     452      -5       1       3
     0.80282621       1     453      -4       1       3
     0.94538255       1     454      -3       1       3
     1.13536772       1     455      -2       1       3
     1.38389835       1     456      -1       1       3
     1.57563759       1     457       0       2       3
     1.83072544       1     458       1       2       3
     1.87828467       1     459       2       2       3
     1.67121603       1     460       3       2       3
     1.38389835       1     461       4       2       3
     1.13536772       1     462       5       2       3
     0.58630137       1     463      -6       2       3
     0.66407391       1     464      -5       2       3
     0.76346528       1     465      -4       2       3
     0.89330254       1     466      -3       2       3
     1.06588956       1     467      -2       2       3
     1.29451837       1     468      -1       2       3
     1.36454218       1     469       0       3       3
     1.57563759       1     470       1       3       3
     1.67121603       1     471       2       3       3
     1.57563759       1     472       3       3       3
     1.36454218       1     473       4       3       3
     1.14644474       1     474       5       3       3
     0.55707201       1     475      -6       3       3
     0.62609489       1     476      -5       3       3
     0.71260891       1     477      -4       3       3
     0.82284989       1     478      -3       3       3
     0.96487703       1     479      -2       3       3
     1.14644474       1     480      -1       3       3
     1.14644474       1     481       0       4       3
     1.29451837       1     482       1       4       3
     1.38389835       1     483       2       4       3
     1.36454218       1     484       3       4       3
     1.24854439       1     485       4       4       3
     1.09406771       1     486       5       4       3
     0.52521253       1     487      -6       4       3
     0.58480379       1     488      -5       4       3
     0.65761599       1     489      -4       4       3
     0.74739053       1     490      -3       4       3
     0.85825732       1     491      -2       4       3
     0.99285027       1     492      -1       4       3
     0.96487703       1     493       0       5       3
     1.06588956       1     494       1       5       3
     1.13536772       1     495       2       5       3
     1.14644474       1     496       3       5       3
     1.09406771       1     497       4       5       3
     1.00023216       1     498       5       5       3
     0.49281472       1     499      -6       5       3
     0.54340707       1     500      -5       5       3
     0.60357230       1     501      -4       5       3
     0.67527325       1     502      -3       5       3
     0.76016736       1     503      -2       5       3
     0.85825732       1     504      -1       5       3
